jobTitel,Company,Location,jobDescription,postDate
(Chief) Data Governance Officer (m/w/d) - Master Data Management,ROSEN,"Lingen, Germany","Am Standort in Lingen (Ems) oder Osnabrück suchen wir eine/n(CHIEF) DATA GOVERNANCE OFFICER (M/W/D) - MASTER DATA MANAGEMENTIN UNSERER WELTWEITEN ROSEN ORGANISATION SIND EINDEUTIGE DATEN/INFORMATIONEN FÜR DIE ERFASSUNG ALLER WERTSCHÖPFENDEN ELEMENTE UND FUNKTIONEN ZWINGEND ERFORDERLICH UND ZUDEM WICHTIG FÜR DIE STETIGE VERBESSERUNG UND WEITERENTWICKLUNG DES UNTERNEHMENS.DIESES GEHT EINHER MIT DER PLANUNG, KONTROLLE UND BEREITSTELLUNG SOWIE EINER VOLLSTÄNDIGEN ÜBERSICHT MIT KATALOGISIERUNG UND PFLEGE ALLER VERWENDETEN DATEN, DEREN ATTRIBUTE UND STRUKTUREN.HIERFÜR WIRD EIN MASTER DATA CENTER AUFGEBAUT, DAS ÜBER ALLE IN DER UNTERNEHMENSGRUPPE VERWENDETEN SOFTWARE SYSTEME HINWEG DIE EINDEUTIGKEIT UND QUALITÄT DER DATEN UND DEREN NUTZUNG SICHERSTELLEN SOLL.IM RAHMEN DES DATEN MANAGEMENTS SOLL DIE FACHGERECHTE UND SICHERE VERWENDUNG DER DATEN GEMÄSS DEN VORGABEN UNSERES DATA GOVERNANCE SICHERGESTELLT WERDEN.ANGELEHNT AN DIE IM UNTERNEHMEN WELTWEIT VERWENDETEN SOFTWARE SYSTEME SOLL EIN TEAM ETABLIERT WERDEN, WELCHES FÜR DIE GENUTZTEN DATEN DER INDIVIDUELLEN SOFTWARE SYSTEME ZUSTÄNDIG SEIN WIRD UND ALS DIENSTLEISTER FÜR DIE SOFTWARE ANWENDER AGIEREN SOLL.DER DATA GOVERNANCE OFFICER WIRD DIESES TEAM KOORDINIEREN UND BERICHTET DIREKT AN DIE UNTERNEHMENSFÜHRUNG.DIESES NEUE TEAM WIRD VERANTWORTLICH SEIN FÜR…Erstellung und Pflege einer vollständigen, zentralen Übersicht über die Datenstrukturen von der Quelle über Transformationen bis zu den Kunden AnwendungenInitialisierung und Koordination von Aktivitäten, um nachhaltig die Qualität der Daten und Metadaten zu erhöhenAbstimmung mit den Anwendern der verschiedenen Nutzerbereiche, um Daten-Qualitätsstandards und Infrastrukturen zu entwickeln und anstehende Änderungen zu koordinierenEntwicklung von Regelsätzen bzgl. der Qualitätsattribute der Daten (wie z.B. Erreichbarkeit, Autorisierung, Migration, Integration externer Daten etc.)Technische Verantwortung von Komponenten des Datenmanagements und Sicherstellung ihrer optimalen Einbindung in unsere Software System ArchitekturRoadmapping und Kommunikation der DatenlandschaftQualitätsanalysen und -reporting zur Überwachung der Einhaltung der DatenqualitätszieleANFORDERUNGENUm dieses Team erfolgreich zu koordinieren sind erforderlich:Leidenschaft für die Entwicklung und Umsetzung von Konzepten des Data- und Governance ManagementsDurchsetzungskraft um Data Governance Anforderungen bezüglich Datensicherheit, den Datenschutz und die Integrität der Daten einzuhalten sowie die Datenqualität und die Erfüllung rechtlicher Vorgaben sicherzustellenErfolg und Wissen dargestellt durch ein abgeschlossenes Informatik-Studium mit wirtschaftswissenschaftlichem Hintergrund oder vergleichbarBerufserfahrung auf dem Gebiet der Data Governance und dem Leiten eines Teams vorteilhaftTeam- und Konfliktfähigkeit, um mit Konflikten umzugehen und mit anderen zusammenzuarbeiten, um zielorientiert Herausforderungen zu erarbeiten.Veränderungsbereitschaft, da sich die fachlichen Herausforderungen ständig ändern, neue Prioritäten gesetzt und neue Prozesse eingeführt werden müssen.Talent für einfache abstrakte Darstellungen komplexer Sachverhalte sowie Sicherheit im professionellen Präsentieren und InterviewenSoft Skills aus den Bereichen Software Engineering & ArchitekturGute Englisch Kenntnisse, die eine vornehmlich in englischer Sprache erforderliche Kommunikation in Wort und Schrift ermöglichen.UNSER ANGEBOTSpitzen-Rahmenbedingungen:Flexible Arbeitszeitmodelle und Home Office möglichEntwicklungsmöglichkeiten und Karrierechancen in einer globalen, innovativen und auf Langfristigkeit ausgelegten Unternehmensgruppe mit familiärem CharakterEine offene Unternehmenskultur, in der es Spaß macht, eigene Ideen und Engagement mit einzubringenEin kollegiales, hilfsbereites TeamEin moderner und sicherer ArbeitsplatzEine vielseitige, abwechslungsreiche und verantwortungsvolle AufgabeSpitzen-Sozialleistungen:GleitzeitkontoVermögenswirksame LeistungenBetriebliche AltersvorsorgeFirmeneigenes BetriebsrestaurantBusinessbike - attraktives Radleasing für die PrivatnutzungVerschiedene Betriebssport-Angebote (Qualitrain)MPP - vielfältige IT-Leasingangebote für die PrivatnutzungCorporate Benefits - spezielle Einkaufsangebote für ArbeitnehmerVereinbarkeit von Beruf und Familie durch unsere betriebseigene bilinguale Kindertagesstätte ROKIDS sowie unsere bilinguale Grundschule ROBIGS (optional: Ferienbetreuung)Mehr Informationen über die ROSEN Gruppe in Lingen (Ems) finden Sie hier:www.rosen-lingen.de",23/05/2022
Data Analyst (m/w/d),BD,"Kelberg, Germany","Job Description Summary
BD Rowa stands for innovative and reliable products for everything to do with pharmaceutical logistics. As a pioneer in the field of automation and digitization, the company develops and manufactures solutions for pharmacies, hospitals, the pharmaceutical industry and blister centers at its headquarters in Kelberg (Eifel). 800 employees worldwide are committed to competent and reliable customer support. Rowa is part of the global medical technology company Becton Dickinson (BD) with 65,000 employees in 50 countries worldwide. Our vision: Together, advancing the world of health.
Job Description
You will be an integral part of the agile Rowa Digital Process Automation Train, and will interface with various teams in Business- and Product-Development to create a comprehensive data analytics environment aimed at addressing key strategic business initiatives for BD Rowa.
About the Role

Develop, optimize, and maintain the operational data warehouse and data marts
Evaluate and implement business requirements in collaboration with BD Rowa business analysts, engineers and other stakeholders
Collect, interpret, prepare and model data to provide actionable insights

About You

Basic knowledge of Enterprise Data Warehouse topologies (Kimball, Inmon, Data Vault)
Minimum 2 years of relevant work experience doing data preparation and processing
Proficiency writing analytical SQL queries in a heterogenous system landscape
Understanding of data warehouse loading principles, ELT and ETL data pipelines
Strong analytical skills and a passion for data wrangling
A great team player - collaborative, detail-oriented and organized, comfortable working in a cross-functional and highly matrixed environment with limited resources
Bachelor's degree or higher, preferably in informatics, engineering, math, statistics or equivalent experience
Working knowledge of leading cloud platforms and cloud computing services a plus (preferably Azure, alternatively AWS)
Microsoft .NET programming skills (preferably C#), alternatively python
Knowledge of the Microsoft BI Technology Stack (SSIS, SSAS, PowerBI), and their Query and Integration Languages (DAX, M)
Knowledge of Agile Methodologies is a plus

Location:

On-site in Kelberg or alternatively in Frankfurt am Main, combined with a flexible Home-Office policy

Our Offer:
A professional challenge in a highly motivated team, a global environment and with long-term perspectives. A familiar working atmosphere in an innovative environment where your opinion matters. Diversity characterizes our corporate culture and we are convinced that it makes us a stronger team. We value each person as an individual with their abilities and needs. In this sense, we welcome applicants who wish to work part-time, people with severe disabilities and applicants of any gender.
Primary Work Location
DEU Kelberg - Rowastrasse",04/05/2022
Business Data Analyst – Level 1 (m/f/d),ICE International Copyright Enterprise Germany GmbH,"Berlin, Germany","Job Description


employment type
full time



Full job description

What is ICE?ICE is the result of a big vision for the music industry. We sit at the exciting junction between technology, data and digital music consumption, addressing many of the industry's biggest challenges. Based in the UK, Germany and Sweden, with a multi-national team of 250+ committed colleagues we are purpose-driven in our mission to enable accurate, transparent & fair compensation for songwriters and publishers on an international basis. We achieve this through our music licensing, processing and copyright services.
Our team negotiates deals with digital music services such as YouTube, Facebook, TikTok and many other services who rely on & benefit from music in their services; innovatively address the data challenges involved in analyzing epic volumes of global usage data to match written songs to recordings and calculate royalties based on terms from licensing deals and consolidate complex song ownership data from multiple sources to provide the industry's most authoritative rights picture, underpinning accurate songwriter payments from a wide range of sources, this work has seen us distribute more than €1bn in digital royalties to our customers since 2016.
At ICE we are guided in our working culture by our values, and a firm commitment to Diversity & Inclusion. Working at ICE means demonstrating respect for everyone by understanding and celebrating our differences, embracing the creativity that comes from different perspectives and achieving excellence by bringing out the best in people who can bring their whole selves to work.We work together, collaboratively, with equal participation and inclusion to do the best for our colleagues and customers.
You are responsible for:

Data extraction based on customer and internal requests
Developing automated data pipelines for recurring requests
Maintaining databases and scripts
Data analysis to generate insights on the business
Dashboard development
Providing advice to other teams on data availability to support business decision-making

minimum requirements:

You're keen to delve into the world of coding, statistics and data analysis
You proactively seek to develop your technical skills and respond well to coaching
You're a team player willing to support customer data requests at short notice
Nice to have:
Proficiency with Excel
Basic proficiency with SQL
Basic proficiency with a general-purpose programming language, eg Python/R
Basic proficiency in dashboard visualizations in a dedicated tool, e.g. QuickSight, PowerBI, Tableau, Qlik
Some understanding of ICE's databases
Fluent in English

We offer you:

Competitive salary
Diverse work environment influenced by our Swedish, British and German origins
hybrid work
German and English classes
Training, certification and workshops
Team Socials
Flexible working hours, Monday to Friday
Firmwide summer and winter socials
company pension 20%
Free drinks (e.g. coffee, tea) Free fruit on a regular basis
BVG Ticket (AB)

Application Requirements:In order for us to consider your application, we ask you to submit the following:

Your current CV

If your experience and capabilities match our required qualifications outlined above, we are very much looking forward to your application (only online). Please include your earliest available starting date.
We welcome candidates from all backgrounds, regardless of age, disability, gender, gender identity, gender expression, race, religion or belief, sexual orientation, socioeconomic background, and any other protected characteristic.We are committed to making all stages of our recruitment process accessible to candidates with disabilities. Please speak to our recruitment team and we will work with you to make reasonable adjustments to ensure you can perform at your best throughout your application
Job Type: Full time",06/05/2022
Data Analyst (m/f/d),Arvato infoscore GmbH,"Extersche Straße 33415, Bad Salzuflen, Germany","Job Description


employment type
full time



Full job description


We are looking for a
DATA ANALYST (m/f/d)
full-time located at one of our offices in Verl, Berlin, Oslo, Amsterdam or Varberg
Arvato offers customers payment solutions that make everyday life simpler!
Our solutions contribute to a flexible and customer-friendly payment alternative, offering customers the opportunity to choose when and how they want to pay for a purchase. Delivering a trustworthy and positive shopping experience, both for retailers and end customers makes us proud but not content. Our ambition is higher and now we have a great opportunity for a Data Analyst to join our growing team which is located in various locations across Europe as Verl (Germany, Oslo (Norway), Varberg (Sweden) and Amsterdam (Netherlands).
Just to give you a quick insight, our tech department has over 100 developers structured into 15 domain teams. As a Data Analyst you work closely with product experts, designers, and other roles as needed, so that each team can assume full responsibility for their specific products. The team gets the freedom to make their own decisions regarding product, technology, and process. To you this would offer the time required to focus on your craft, and lots of room to shape what we ship.
Our ambition is to give you the best possible start with us with the opportunity to grow yourself. Your closest managers are experienced, and take the time to set a development plan that suits just you. Our company-wide community is also there to help you learn — and to learn from you.
About the role
The Data Analysis department is, on an international level (Nordics, Benelux & DACH), responsible for a wide range of tasks such as understanding consumer purchase patterns, maintaining and developing models and analytical tools as well as generating insights and brainstorming new features for creating better models that will be used in the credit strategy. You are expected to contribute with ideas, opinions, new information and together with colleagues develop models and perform complex analyses in order to meet the overall corporate strategy targets. The Data Analyst will work in cross-functional teams working together towards a joint mission. Together with other data scientists and data engineers the Data Analyst will explore and make sense of our data universe focusing on areas such as risk & fraud and product development.
What you are expected to do

Be responsible for researching, developing, and analysing statistical models used to make predictions in the credit domain
Explore large datasets and understand consumer behavioural patterns relevant for product development as well as operational efficiency
Manipulate and explore data
Analyse problems to understand their root cause
Work together with Data Scientists and Data Engineers to build and implement risk- and fraud and scoring models
Lead initiatives that improve the scorecard development process
Create structure in disordered information/data
Providing recommendations based on data driven insights.
Drive a relentless approach to setting and meeting data intelligence standards and improving data quality within the business

What you should bring

Excellent analytical skills with the ability to collect, organize, analyse, and disseminate significant amounts of information with attention to detail and accuracy
Be able to identify issues, structure and conduct necessary analysis and draw conclusions
Exceptional inter- and intrapersonal skills
An understanding how to perform data extraction and manipulation
Proficiency in programming languages such as SQL, Python, R, Java, etc…)
Possess the ability to balance multiple priorities, be detail-oriented, work independently, and meet deadlines in a fast-paced environment
Team player
Experience with BI tools, preferably Power BI
Master/MBA degree in numerate subject (e.g. Economics, Science, Engineering or Business)
1-3 years of analytics work experience

Nice if you have

Experience within the payments, risk or factoring space
Ambition to develop as a professional in an entrepreneurial organisation that provides opportunity to work with your areas of interest

What we offer you

We offer you a role in a fast-moving human centric fintech company.
A professional, international and friendly working environment.
We are in an exciting growth phase and we are constantly developing our products to meet our customers need for safe and functional technical solutions.
A great influence on product development and working in an agile team setup.
Opportunity to develop in the role and within the company.
You are close to the business you support and collaborate with, and have a large internal network of expertise available, as well as peers in many European countries.
The pace of work is periodically high, but we are keen to have fun at work and promote good staff health. Wellness grants, social activities at and outside the workplace and dedicated employees guarantee a fun and developing work environment.

Apply now! We are screening applications on an ongoing basis so don't wait with your application.
Who we are
Let's be honest, finance is complicated! So we at Arvato Financial Solutions are proud to be guiding international as well as renowned local companies through the complex world of cash flows. Whether our customers sell shoes in e-commerce or offer telecommunications services, our services ensure efficient credit management for the best possible financial performance. Our approximately 7,000 employees solve new challenges in payments and complex data riddles every day, and do so cleverly, analytically and with an eye for every little detail as that is our DNA. We are seeking colleagues who want to take an active part in this - whether they are young professional, IT specialists, data analysts, advisers, managers or lateral entrants. And thanks to our presence in around 20 countries with a focus on Europe and America, there will usually be the right job available nearby. Innovate Yourself!
We keep what we promise:
Find more information at www.innovateyourself.de
Are you already convinced? Then we look forward to your online application with CV, salary expectations and the earliest possible start date.
We look forward to applications from candidates who contribute to the diversity of our company. We relate diversity in particular to the dimensions of cultural or social origin, religion, age, disability, gender and sexual identity.
Company: Arvato infoscore GmbH
Country: Germany
State/Region: North Rhine-Westphalia
City: ext
Postal Code: 33415
ID: 165819",30/05/2022
Business Analyst / Data Scientist (m/w/d),FUNKE MEDIENGRUPPE,"Essen, Germany","Job Description


employment type
full time
permanent employment



Full job description









As FUNKE MediaSales , we market all strong media brands of the FUNKE media group. We can display our customers' advertising messages in consumer magazines, regional daily newspapers, advertising papers, on numerous digital portals, on the radio, out-of-home or in podcasts. It doesn't matter whether it's a regional advertising message or a national campaign, our customers get their individual cross-media communication solutions from us - and that across all genres .We are looking for you as part of our marketing management at the Essen location

Business Analyst / Data Scientist (m/f/d)







YOUR TASKS

You are a member of the Sales Intelligence Team in the MediaSales department and together we are responsible for everything to do with data analytics and sales management
Data analysis is your world: Whether analysis, report or dashboard - you use the right means for the respective purpose
You do not lose sight of the goal and, together with the sales department, derive concrete recommendations for action from your analyses
We have tricky questions and you enjoy the details - but you can also be ""pragmatic"" when a quick solution is required.






YOUR PROFILE

You have at least two years of professional experience and are enthusiastic about data, analyzes and economic relationships
Ideally, you have expertise in the field of sales - or you are motivated to learn new things
You master the direct handling of data using SQL and have gained experience with SAP BW, Power BI or Tableau
Ideally, you have gained initial experience with data science or machine learning
You are communicative and open, focus on your goals and a high degree of initiative round off your profile







OUR BENEFITS

Lots of creative freedom: We are currently rethinking data and you can help shape it
We offer you very good training opportunities in the field of data science and data engineering
Teamwork: You can expect a dynamic team, short communication channels, an open feedback culture and a warm atmosphere
Professional and personal development: Our range of qualifications with workshops and e-learning courses as part of the group-wide FUNKE AKADEMIE gives you the opportunity to continuously develop yourself
Keep fit: Cooperation with various fitness studios and exciting health promotions
FUNKE Benefits: Flexible working hours including home office, company pension scheme, subsidy for (e)-bike leasing, employee subscriptions, free advertisements and corporate benefits portal with numerous discounts






Please send your application to Jessica Golz and apply online here.",09/05/2022
Junior Data Engineer,LexisNexis SA,"Bonn, Germany","Job Description


employment type
full time



Full job description



The LexisNexis Intellectual Property (IP) (https://www.lexisnexisip.com) division provides international patent content and a suite of on-line and analytic tools to meet the needs of the intellectual property market. We enhance and deliver data for the LexisNexis IP search and analytics applications, which provide our customers with insights and metrics supporting their business decisions.


Our corporate culture is driven by a commitment to excellence, innovation, and a strong dedication to our customers, employees and communities. You will be collaborating with stakeholders from different cultures and roles. It is a fun place to work with a vibrant and diverse team, giving you the freedom to grow and actively contribute.

We are looking to hire a Junior Data Engineer to join our growing team based in the Bonn region.
 
Your qualifications:


Bachelor’s / Master' s Degree (Engineering/Computer Science preferred but not required); or equivalent experience required.


Your responsibilities:

You will develop a deep understanding of patents and integrate and cross-connect them with a wide array of scientific, firmographic and legal data to create new insights for our customers
In your role as data engineer you will play a crucial role in developing our new data infrastructure based on your extensive technical knowledge in the field.
You take ownership of the data quality and performance and work continuously to improve them.

Your profile:

Had first experiences in data engineering and would like to continue along that path
Enjoy working in a global team developing creative solutions
1+ years of experience with Python or a similar modern scripting language
1+ years of experience working with Spark - experience with PySpark and DataBricks is beneficial
Basic proficiency with data manipulation language (in particular SQL)
Solid knowledge of software development methodologies
Self-driven, outstanding initiative and creative ideas.

LexisNexis, a division of RELX Group, is an equal opportunity employer: qualified applicants are considered for and treated during employment without regard to race, color, creed, religion, sex, national origin, citizenship status, disability status, protected veteran status, age, marital status, sexual orientation, gender identity, genetic information, or any other characteristic protected by law. If a qualified individual with a disability or disabled veteran needs a reasonable accommodation to use or access our online system, that individual should please contact accommodations@relx.com or if you are based in the US you may also contact us on 1.855.833.5120.",25/05/2022
Data Scientist,LexisNexis SA,"Bonn, Germany","Job Description


employment type
full time



Full job description


The LexisNexis Intellectual Property (IP (
https://www.lexisnexisip.com
) division provides international patent content and a suite of online and analytical tools to meet the needs of the intellectual property market. We enhance and deliver data for the LexisNexis IP search and analytics applications, which provide our customers with insights and metrics supporting their business decisions.
Our corporate culture is driven by a commitment to excellence, innovation, and a strong dedication to our customers, employees and communities. You will be collaborating with stakeholders from different cultures and roles. It is a fun place to work with a vibrant and diverse team, giving you the freedom to grow and actively contribute.

role
For our Content Enrichment team located in Bonn (
https://www.patentsight.com/about-patentsight
) we are looking for a passionate Data Scientist for building enrichment processes that extract valuable insights from large amounts of public patent data. You will design data transformation workflows that are robust to large amounts of data, frequent updates, and data from multiple vendors. You will organize and implement data cleaning and feature transformation workflows and measure the enrichment quality. You will use SQL and Python on Databricks notebooks and SQL code on relational databases.

Qualifications
3+ years' experience in a data science area with technical competencies demonstrated.
Bachelor's Degree (Engineering/Computer Science preferred but not required); or equivalent experience required.
Technical skills
Required: 2+ years of professional experience with SQL and Python development
Required: 2+ years of professional experience with analyzing and transforming data
Optional: Experience with big data computation platforms, eg Databricks, Apache Spark, Hadoop, or Azure Synapse
Optional: Experience with an ETL orchestration framework, eg SSIS, Azure data factory, Azure Synapse, AWS data pipeline, Stitch or Talend
Optional: Experience with machine learning (clustering, classification and regression with simple to advanced models) and model evaluation
Optional: Experience with natural language processing
Optional: Experience with SAS, R or statistical modelling
Optional: Experience with T-SQL, XSLT, .NET, UML
File management skills and logic.
Strong oral and written communications skills in English.
Ability to work independently and with team members from different backgrounds in a constantly changing environment
Ability and desire to learn new processes, tools, and technologies
We offer you
A highly creative and motivated international team
We work for fascinating customers from among the most innovative companies in the world
Modern, bright office space right next to the river Rhine, with good connections to public transportation
Partially working remotely
Free parking or free public transport (job ticket)
Free lunch and drinks
An attractive salary
We are an equal opportunity employer: qualified applicants are considered for and treated during employment without regard to race, color, creed, religion, sex, national origin, citizenship status, disability status, protected veteran status, age, marital status, sexual orientation, gender identity, genetic information, or any other characteristic protected by law. If a qualified individual with a disability or disabled veteran needs a reasonable accommodation to use or access our online system, that individual should please contact accommodations@relx.com or if you are based in the US you may also contact us on 1.855.833.5120
LexisNexis, a division of RELX Group, is an equal opportunity employer: qualified applicants are considered for and treated during employment without regard to race, color, creed, religion, sex, national origin, citizenship status, disability status, protected veteran status, age , marital status, sexual orientation, gender identity, genetic information, or any other characteristic protected by law. If a qualified individual with a disability or disabled veteran needs a reasonable accommodation to use or access our online system, that individual should please contact accommodations@relx.com or if you are based in the US you may also contact us on 1.855.833.5120.",06/05/2022
(Junior) Business Analyst Data Engineering (m/w/d),jobvector GmbH,"Düsseldorf, Germany","Full job description



Are you interested in these tasks:

Bring applicants and employers together on jobvector!
You design the data flow of our business processes - from data management to the transfer of data to the APIs to the display in the frontend.
You keep an eye on process automation and system integration and create data models, carry out analyzes and assessments of business requirements.
In order to actually implement the ideas, you create decision templates with business cases.
You transfer the results of your analyzes into epics, features and user stories.
Strong communication in an agile environment from IT to the department with marketing, sales and the data science team.



We look forward to your qualifications:

Completed studies in business informatics, computer science or comparable qualification (engineer, natural scientist, business administration)
You are confident in the practical application of SQL
Knowledge of the structure and structuring of application programming interfaces (API)
Know-how in the field of databases (Google Big Query, mySQL), Data Studio, server site tracking, marketing automation, regular expressions is an advantage



We offer you:

Our spirit: An open team that welcomes you! With us you are on first name terms with everyone and have short communication and decision-making channels.
Your development: We support your professional and personal development with conferences and training courses.
Security: Fixed salary with a bonus model, permanent employment contract and a professional pension scheme for our long-term cooperation.
Induction: Through a structured training phase with training, you will get to know your tasks, the team and our tools.
Good food: free drinks & fresh fruit, perfectly equipped cooking studio.
Save time: Have your packages delivered directly to your office.
Fitness: Sport and wellness in the exclusive fitness club directly opposite
Attractive location: A modern, daylight-flooded, air-conditioned office with private WLAN use and a sunny garden on the Düssel, where we also grill.
Perfect connection: Direct connection to underground and suburban railways as well as parking spaces for cars and bicycles.



Your HR contact:Lilian RegensteinTel: +49 211 54763 - 608jobvector GmbHKölner Landstraße 4040591 DüsseldorfYou can find a first insight into our team, the job market, our events and products here: https://www.jobvector.de


about us
jobvector GmbH is the leading job market for engineers, computer scientists, physicians and natural scientists.As a dynamic and success-oriented company, we speak the language of the MINT target group and offer our customers an individual and exclusive service.We are proud that jobvector has been voted Germany's best specialist career portal several times.",25/04/2022
(Senior) Software Engineer Data Intelligence (m/f/d),Stylight,"München, Germany","Full job description





Introduction Sentence


We’re looking for a (Senior) Software Engineer to become part of our outstanding Data Intelligence Team in Munich. We are responsible for developing new features that help to improve our data gathering and event processing products. If you love to continuously improve and deliver high quality software - then Stylight is the place to be for you!




What you can expect in this role


Your Team
Consists of software engineers and data analysts, creating and promoting a data-informed Stylight
Works agile and applies Kanban to their daily work life
Gets data ready for analytics by automating dataflows and providing tools to make data accessible
Takes pride in writing good code and loves test automation
Generates insights to support teams in making sound business decisions
Coaches and supports teams to use data efficiently
Your Responsibilities
Provide and improve our central data infrastructure which is built around the common cloud services on AWS and GCP
Improve the event and batch processing infrastructure and collect data from internal microservices
Scale our ETL processes running on top of Open Source products like Apache Airflow and Kubernetes
Foster technical excellence within the team, bring your best practices, challenge the status quo, and set things in motion
Develop and maintain internal services to support other teams regarding A/B-test evaluation, event changelogs, and materialized views
Take end-to-end responsibility from ideation to coding, testing, monitoring, and maintaining




Your essential experience and education


You have a several years of experience in designing, building, and operating scalable systems using Python
You have first experience with Kubernetes and understand how to take advantage of cloud services on AWS and GCP
You have a strong focus on good design, code quality, and code efficiency
You use proper data structures and algorithms and know what makes software maintainable
You have SQL knowledge and enjoy modeling and transforming data
You have a passion for teaching, coaching, and empowering your colleagues
Whether it's informal chats or tech discussions - English is no problem for you
Additional expertise in analytics tools like Looker is a plus




What's in it for you?


Stylight is #1 Meetup organizer in Munich, and deeply involved in the local tech community
Together with Bits & Bretzels, we host daho.am , an annual developer conference with top-notch speakers and 800 attendees
International & highly motivated environment with open business culture in all departments. Our company language is English
Hands-on work after quick ramp up & openness to new solutions and improvements
A personal development budget is given to you to use throughout the year for personal growth
We are family-friendly and enjoy spending time with one another outside of working hours from board game evenings and BBQs to ping pong tournaments and Christmas tree decorating
We have one of the coolest office spaces in Munich (and actually in Germany ) in the city-center , and just a 10-minute walk to the nearest Biergarten




Closure


Want to know more? Check out: about.stylight.com and blog.stylight.com // tech.stylight.com .
Up for the Challenge?If this sounds like the perfect job for you, then do not hesitate and apply today. We're looking forward to receiving your application!
Stylight is Europe’s leading style aggregator available in 17 countries worldwide. As part of ProSiebenSat.1 Media SE Stylight builds a place you can visit to find and discover products from all brands, shopping guides, curated picks, how-tos, and the latest trends. The team behind Stylight are 100 style geeks and tech professionals, a data-driven lifestyle force, coming from 20 nations all around the globe, operating from our headquarter in Munich and our US office in Philadelphia.




Company Text


Click here to learn more about the ProSiebenSat.1 Group and our diverse portfolio.You have a disability and would like to apply? Then you are very welcome.We know that we are not entirely accessible yet, but we are working on it. Let's talk about how we can eliminate any barrier together and find an individual solution if needed.Although we refer to one gender in the text, all genders may be implied.




Training and Education
Sabbatical opportunities
Startup Spirit
Subsidized company pension plan
No dress code
Free catering
Team Events
Open corporate culture",18/04/2022
Junior Data Analyst (m/f/d),C3 Creative Code and Content GmbH,"Munich, Germany","Full job description

To support our Data Democratization efforts, we are currently looking for a
Junior Data Analyst (m/f/d)
YOUR BENEFITS
30 days of vacation and interesting training opportunities through our C3 Academy
Possibility of mobile working with flexible working hours
A wealth of corporate benefits such as company AV and employee discounts such as discounts on cultural events and vouchers for online stores
Sports offers including Pilates and discounts at various fitness studios
Agile and collaborative work environment, independent action and fair pay
A varied agency life where openness and striving for the highest quality are part of the corporate culture
Come as you are: You don't have to bend or pretend with us
A very collegial working atmosphere in our modern offices with top equipment
Real Deep Work times give you the opportunity to work on your tasks in a concentrated manner
Of course there is coffee, tea and soft drinks as well as fresh fruit to start the day perfectly
YOUR TASKS:
Draft and support the implementation of data collection concepts (e.g. Web Tracking)
Create data mapping to facilitate the ETL process and ensure the data quality
Enable quicker decision-making through the automation of the extracting, transforming, and loading (ETL) of data from varied digital sources
Draft automated dashboards that boost insight generation
Analyze different sets of data and segments to develop recommendations
Contribute to our data democratization process and standards
YOUR PROFILE
First experience with web analytics, ETL processes and automated dashboards
Degree in Data Science, Informatics, Statistics or Marketing
Advanced beginner level with Python and basic knowledge of R, SQL or similar
Basic knowledge of Tableau, PowerBI or Google Data Studio as well as at least 1 Web Analytics tool
Solution-oriented, with a proactive mindset, and willingness to experiment and learn in an ever-changing field
Ability to focus on the relevant information in a flood of data
ABOUT C3 CREATIVE CODE AND CONTENT
Creating what matters – we make brands a relevant part of customers’ lives. Over 550 employees across 9 European locations develop and implement content marketing solutions, with measurable impact. C3 combines creativity, content and technology, and unites all aspects of cutting-edge marketing under one roof.
HAVE WE SPARKED YOUR INTEREST? If so, then we’d love to hear from you! Send us your convincing application (CV, references, work samples, etc.)
Type of position: full-time, permanent
Services:
Company training
Flexible working hours
Free drinks
Employee discount",11/04/2022
