jobTitle,Company,Rating,Location,Branche,est_minSalary,est_maxSalary,jobDescription,postDate
(Associate) Consultant (m/w/d) Customer Data & AI Strategy & Data Science,Capgemini Invent,,"Berlin, Frankfurt am Main, Hamburg, Köln, München, Stuttgart",IT & Internet,,,"Du gestaltest den Aufbau und die Weiterentwicklung der technischen BI-Infrastruktur und unseres Data Warehouses mit BigQuery in Zusammenarbeit mit unseren IT- und Business-Abteilungen Dein Fokus liegt dabei insbesondere auf der Modellierung und Umsetzung von Datenmodellen/Cubes zur Abbildung unserer umfangreichen ProjektaktivitÃ¤ten und -erfolge Du unterstÃ¼tzt das Team sowie unsere Stakeholder bei der Analyse und Umsetzung der Anforderungen zu Datenmodellen und Verarbeitungsprozessen Besonders wichtig ist Dir dabei die Sicherstellung der DatenintegritÃ¤t, die DatenprÃ¼fung und -validierung sowie eine gute Prozessdokumentation Als Teil des Data-Teams hast Du entsprechend sÃ¤mtliche Data-Integration-Pipelines im Blick und stellst deren reibungslosen Betrieb sicher, um qualitativ hochwertige Daten fÃ¼r analytische Zwecke bereitzustellen Gemeinsam im Team treibst Du ggf. neue Datenintegrations- und Migrationsprojekte und schaffst die passenden Voraussetzungen zum Aufbau der DWH-Strukturen Du lieferst effiziente LÃ¶sungen fÃ¼r herausfordernde Probleme und bist motiviert, skalierbare LÃ¶sungen zu entwickeln Du komplettierst ein noch kleines, wachsendes BI-Team, das sich ganzheitlich um die Springer Medizin-BI kÃ¼mmert, beginnend mit den Quellsystemen bis zur Bereitstellung von Berichten und Dashboards fÃ¼r interne/externe Stakeholder Hochschulstudium im Bereich der MINT-FÃ¤cher, BWL oder VWL mit Informatik-Schnittpunkten, eine vergleichbare Ausbildung oder auch fundierte Berufserfahrung als Quereinsteiger*in Du hast sehr gute Programmierkenntnisse in Python, Scala sowie SQL oder Interesse, Dich hier weiterzuentwickeln Du besitzt Kenntnisse im Aufbau und Modellieren von multidimensionalen (OLAP, MDX)Â und/oder tabellarischen Datenmodellen (DAX) Du zeichnest Dich durch eine ausgeprÃ¤gte DatenaffinitÃ¤t sowie ein hohes VerstÃ¤ndnis fÃ¼r Datenstrukturen, Modellierung von ETL-Strecken und MÃ¶glichkeiten der Datenintegration aus Du hast bereits gute Kenntnisse im Umgang mitÂ Google Cloud Platform (GCP)Â Services wie BigQuery und Dataflow und Big Data Tools wie z. B. Beam, Spark/Flink, dbt, Compute Engine etc. Noch keine Erfahrungen in der Google Cloud? AWS, Azure und Co. sind auch ein guter Startpunkt Du Ã¼berzeugst durch analytisches und konzeptionelles Arbeiten, mit der FÃ¤higkeit, Dich selbst zu priorisieren Du zeichnest Dich durch ein hohes MaÃ an Eigeninitiative aus und lernst gerne Neues Du verfÃ¼gst Ã¼ber sehr gute Deutsch- und Englischkenntnisse",23-05-2022
(Associate) Consultant (m/w/d) Data Scientist / AI Garage,Capgemini Invent,,"Berlin, Frankfurt am Main, Hamburg, Köln, München, Stuttgart",IT & Internet,70440,89712,"Independent development of analytical issues in close exchange with business units Independent implementation of Data Analytics projects from concept development to modeling and testing to operationalization Discussion of the results with business stakeholders Comprehensive consulting of the business units on all questions related to analyticsCompleted technology and / or numerical master's degree (e.g. statistics, physics, engineering, business informatics) with sound professional experience in the field of data analysis and advanced analytics Sound knowledge of statistics (including descriptive statistics, inferential statistics, Bayes, tests) as well as good skills in data mining and machine learning (regressions, clustering methods, decision trees, neural networks, boosting and ensemble learners) and evaluation methods Good command of one of the standard statistical programs - preferably from the open source area (e.g. Python/Pandas, R, KNIME), but also Stata, Matlab, SPSS or Tensorflow as well as good SQL and excellent knowledge of Excel Experience in pricing is desirable Practical experience with the Google Cloud Stack is desirable High willingness to learn new tools and methods in the context of complex tasks, as well as having fun designing and analyzing and finding ways of robust assessment and modeling Excellent communication and presentation skills up to C-Level as well as in German and English",24-05-2022
(Junior) Data Scientist (w/m/d),KPMG AG Wirtschaftsprüfungsgesellschaft,3.8,"Bielefeld, Bremen, Dortmund, Essen, Karlsruhe, Münster, Nürnberg, Saarbrücken, Ulm",IT & Internet,75149,95709,"Du berätst unserer Kunden von der Anforderungsaufnahme über Konzeption, Implementierung und Test bis zur Produktivsetzung, ggf. auch in der Anwendungsbetreuung Du identifizierst Wettbewerbsvorteile durch Information für unsere Kunden als übergreifende*r Architekt*in und Koordinator*in an der Schnittstelle zwischen Fachlichkeit und Technik Auch die Entwicklung von Big Data sowie Data Science Use Cases mit und für unsere Kunden gehören zu Deinen Aufgaben Du konzipierst fachlich und technisch erstklassige BI & Advanced Analytics Lösungen hinsichtlich Architekturen, Datenmodellierung und -Integration, Kennzahlensystemen sowie Performance Management Anwendungen Zudem entwickelst Du erstklassige und performante BI & Advanced Analytics Lösungen zur Mustererkennung, Prognose und Simulation Du steuerst Projekte nach agilen und klassischen Methoden Du arbeitest mit an der Weiterentwicklung unseres Geschäftes und des Beratungsportfolios Du verfügst über ein abgeschlossenes Studium der (Wirtschafts-) Informatik, -Mathematik, Wirtschaftswissenschaften oder ein vergleichbares Studium Du hast bereits Erfahrung in der Aufnahme fachlicher Anforderungen bzw. in der fachlichen und technischen Konzeption von Big Data Architekturen Du besitzt umfangreiche Programmiererfahrung in mindestens einer dieser Sprachen: Python, Java, Scala Du bringst Erfahrung in der Anwendung agiler Methoden mit, vorzugsweise Scrum Du setzt erfolgreich DevOps Projekte um und kennst Dich in Technologien wie Pipelines, Docker und Kubernetes aus Du bist up to date mit aktuellen Architekturkonzepten wie Data Lakehouse oder Data Mesh Idealerweise hast Du bereis erste Projektleitungs- bzw. Teilprojektleitungserfahrung gesammelt Gute Deutsch- und Englischkenntnisse sind für Dich selbstverständlich Beratung heißt Flexibilität: Dein Projekteinsatz richtet sich nach unseren Kunden und Deiner Projektsituation und beinhaltet sowohl hybrides Arbeiten als auch den Einsatz vor Ort",18-05-2022
(Junior) Data Scientist - (m/f/d),Global Legal Entity Identifier Foundation (GLEIF),4.2,Frankfurt am Main,,83953,106921,"Over the last few years, Bosch has established the Bosch Center for Artificial Intelligence (BCAI) as one of the leading enterprise research centers for Artificial Intelligence (AI). The Applied Machine Learning (ML) team is one part of the BCAI with the mission to build and roll out AI solutions to Bosch. We work closely with domain experts on real-world applications in areas such as semi-conductor manufacturing, power tools, automated optical inspection, autonomous driving, and many others, transforming Bosch into a data-driven company. As senior data scientist you will translate business needs into technical solutions and develop advanced ML models as well as statistical approaches for the analysis of extremely diverse data (low-dimensional, high-dimensional, low-volume, high-volume, etc.). You will have direct impact on new and exciting AI solutions that will change Bosch products and processes. You will build and maintain state-of-the-art Machine Learning/Deep Learning models in joint product teams with Software Engineers, Data Engineers and MLOps experts. You will review code written by others for critical feedback and learn from more senior Data Scientists in turn. You will be responsible for the modelling process from raw data to deployment-ready models. In addition, you will collaborate with domain experts and engineering teams. You will share knowledge by clearly articulating results and ideas through presentations and reports to customers, teammates, and key stakeholders. You like to continuously grow your skills and support your colleagues in improving theirs. You take pride in writing and delivering production grade code. Several business trips to Bosch locations per year are common. Furthermore, we encourage and support you to stay up to date with latest research and technology trends, e.g., through conference participations.Education: excellent degree (PhD or Master) in Computer Science, Mathematics, Physics, or related field with strong background in Deep Learning (DL) and other Machine Learning (ML) areas Personality: keen to learn new technologies and share knowledge, a team player with strong analytical and problem-solving skills, eager to take on responsibility Working Practice: independent, motivated, goal-oriented, and pro-active Experience and Knowledge:Â PhD with 2+ years of relevant professional experience or Master with 5+ years of professional experience as a Data Scientist; proven expertise (5+ years) in building ML models for challenging real world data sets; excellent communication and documentation skills; experience in mentoring junior colleagues ML Skills and Knowledge: proven expertise in several of the following fields: neural networks / deep learning, time series analysis, generalized linear models, tree-based models, statistics, explainability methods, clustering, and anomaly detection, demonstrated experience in working with ML/DL frameworks (e.g., scikit-learn, Keras, TensorFlow, PyTorch), publications at major conferences or journals are highly appreciated Technical Skills: proficiency in Python (especially in libraries such as Pandas, Numpy, SciPy, statsmodels), familiarity with other programming languages and technologies relevant for Data Science, e.g., MLflow, SQL, Spark, Dask, C/C++, confident with the Linux command line, hands-on experience with Hadoop and/or GPU clusters as well as Azure Cloud or other cloud technologies is a big plus Languages: fluent in English (written and spoken)",20-05-2022
(Senior) Consultant / Manager (m/w/d) Data Science,Horn & Company Data Analytics GmbH,,"Düsseldorf, Frankfurt am Main, Köln, München",,70440,89712,"Direkt zu Beginn agieren Sie als vollwertiges Teammitglied in einem dynamischen Projektteam Sie entwickeln und bauen leistungsstarke, analytische Lösungen, die unseren Kunden helfen, ihre Geschäftsprobleme zu lösen Sie gestalten Use Cases auf Basis der geschäftlichen Herausforderung, schaffen Fakten aus bestehenden Daten und entwerfen sowie verwenden innovative Algorithmen als Fundament für neue Anwendungen und Lösungen In der Position als Manager (m/w/d) bzw. Principal führen und begleiten Sie Projekte und unterstützen neue Kollegen (m/w/d) in ihrer persönlichen Entwicklung Gemeinsam im Team nutzen Sie moderne Data-Analytics-Werkzeuge, um bei unserem Kunden einen zusätzlichen Mehrwert zu generieren Sie arbeiten gemeinsam mit Data Scientists, Data Architects sowie Branchenexperten Die Gestaltung und Erweiterung unseres Analytics-Portfolio rundet Ihr interessantes Aufgabenspektrum ab Sie verfügen über einen hervorragenden akademischen Abschluss in Informatik, Mathematik oder einer Naturwissenschaft Sie besitzen mehrjährige Erfahrung in der Konzeption und Umsetzung von Data-Science-Lösungen Besondere Expertise haben Sie in einer der folgenden Analyse-Methoden: ANOVA, PCA, ARIMA, LCA, Text Mining, CNN oder NLP Neben praktischen Erfahrungen mit einem Data-Science-Toolset (z. B. R-Project, Python, Matlab oder Scala) kennen Sie auch eines der folgenden Visualisierungstools: Tableau, QlikSense oder PowerBI Für die Position als Manager (m/w/d) bzw. Principal bringen Sie zusätzlich mehrjährige Erfahrung in der Leitung von Projekten im Bereich Data Science und Machine Learning sowie in der Projektakquise mit Im Teamplay sowie in der Interaktion mit Kunden bringen Sie das erforderliche Maß an Integrität, Empathie, Kommunikationsstärke sowie eine hohe Umsetzungskompetenz mit Fließende Deutschkenntnisse in Wort und Schrift werden zwingend vorausgesetzt",26-05-2022
(Senior) Consultant Data Science (m/w/d),Cintellic GmbH,,"Bonn, Frankfurt, Hamburg, Essen, Düsseldorf, München, Karlsruhe, Berlin, Köln, Wiesbaden, Stuttgart",IT & Internet,70595,89909,"As a Senior Data Ingestion Engineer on the Analytical Platform team, you'll shape and provide analytical data and analytical tools to empower data-driven SumUppers to create insights and enable data-driven decision-making in order to improve business performance. You'll focus on increasing source and data mart coverage, developing self-service analytical platforms, and improving data quality. What youâll do Work with business and technical users to define data ingestion efforts, and take ownership over technical implementations; Collaborate with colleagues across the organization to ensure scalable and reliable synchronization of data to the analytical platform; Maintain, monitor, and improve the analytical platform infrastructure and data pipelines; Adopt new technologies, mentor team members, share knowledge, onboard analysts to self-service data ingestion tools... Youâll be great for this role if; You know SQL and Python/Scala like the back of your hand You are experienced using AWS (Amazon Web Services) as your cloud provider You have experience building data pipelines with Airflow (or similar) You have experience with streaming tools such as Kafka or Spark Youâre familiar with infrastructure as code (IaaC) tool such as Terraform or Ansible You have experience with CI/CD. You enjoy working with domain experts and engineers to solve problems and impact the landscape of SumUp's data platform.",02-05-2022
(Senior) Data Science Manager,Delivery Hero SE,4.8,Berlin,IT & Internet,65677,86752,"Sie betreuen Digitalisierungsprojekte im Rahmen der digitalen Transformation des Einkaufs und sind verantwortlich für deren Design, Konzeption und Umsetzung in Zusammenarbeit mit internen und externen IT- und Automatisierungsexperten. Ihre Schwerpunkte liegen im Projekteinkauf: Hier betreuen Sie die Konzeption und Umsetzung von definierten Software-Bot und Data Analytic Use Cases. Sie kreieren und betreuen Dashboards sowie die Schnittstellen der Tools und Systeme im Einkauf und entwickeln diese konzeptionell weiter. Weiterhin sind Sie verantwortlich für die Optimierung, Standardisierung und Definition von end-to-end Prozessen, moderieren CIP-Workshops und begleiten aktiv den Roll-Out mit weltweiten Schulungen. Sie arbeiten gemeinsam mit Teams im Einkauf und angrenzenden Fachbereichen sowie der Entwicklung und kommunizieren mit Fachexperten sowie verschiedenen Ebenen des Managements. Nicht zuletzt unterstützen Sie bei der kontinuierlichen Weiterentwicklung der Digitalen Agenda und des IT-True North.Ausbildung: Abgeschlossenes Studium im Bereich (Wirtschafts-)Informatik, Mathematik, Data Science, Data Analytics oder vergleichbar Persönlichkeit: Teamorientiert, überzeugungsfähig, sicher im Auftreten und kommunikationsfähig im internationalen Umfeld; ausgeprägtes analytisches Denkvermögen; bereichs- und prozessübergreifende Denkweise, Kreativität in Bezug auf Lösungsansätze Arbeitsweise: Kooperativ, strukturiert, proaktiv und eigenverantwortlich; zeichnet sich durch agile Methoden und kreative Lösungsansätze aus Erfahrung und Know-how: Erfahrung in der Projektarbeit und im Einkauf, gute Kenntnisse in Data Analytics; idealerweise gute Kenntnisse in den Programmiersprachen Python, Java und SQL; grundlegende Kenntnisse in Datenbanken, SAP, Python und Power-BI Begeisterung: Moderne IT-Technologien Sprachen: Sehr gute Deutsch- und Englischkenntnisse",21-05-2022
(Senior) Data Scientist (m/w/d),BearingPoint GmbH,4.2,"Berlin, Düsseldorf, Frankfurt am Main, Hamburg, Leipzig, München, Stuttgart, Walldorf","Unternehmensberatg., Wirtschaftsprüfg., Recht",70440,89712,"Spannende Aufgaben Du Ã¼bernimmst selbststÃ¤ndig die Konzeption, DurchfÃ¼hrung und PrÃ¤sentation komplexer, datengetriebener Recherche- und Analyseprojekte Basierend auf den neusten Data-Mining-Methoden entwickelst Du Machine-Learning-Modelle und Algorithmen fÃ¼r die Optimierung konkreter Prozesse Du fÃ¼hrst Daten- und Fehleranalysen zur Verbesserung von Modellen sowie zur Reinigung und Validierung von Daten durch In Zusammenarbeit mit Softwareentwicklern und Machine-Learning-Ingenieuren implementierst Du analytische Modelle Du analysierst Daten fÃ¼r Trends und Muster und interpretierst diese mit einem klaren Ziel Dein Profil Du hast bereits ein erfolgreich abgeschlossenes Studium der Mathematik, Naturwissenschaften, Informatik oder mehrjÃ¤hrige relevante Berufserfahrung Zudem bringst Du Erfahrung in Data Mining und statistischen Analysetechniken (R, Python u. a.), Datenverarbeitung, Datenbankprogrammierung und Datenanalyse mit Im Umgang mit Cloud-ML-Plattformen sowie ML-Bibliotheken und Frameworks (TensorFlow, PyTorch, Keras, Scikit-learn u. a.) bist Du sehr sicher Du besitzt fundierte Kenntnisse im Umgang mit Methoden der Datenvisualisierung (Tableau, Kibana, Power BI u. a.) Ein hohes MaÃ an TeamfÃ¤higkeit, Motivation und Selbstorganisation zeichnet Dich aus Deine sehr guten KommunikationsfÃ¤higkeiten in Deutsch und Englisch runden Dein Profil ab",05-05-2022
(Senior) Data Scientist (m/w/d),Parship Group,4.0,Hamburg,IT & Internet,74338,94676,"Du arbeitest in einem innovativen, selbstorganisierten Team, welches für die Informationsversorgung des Unternehmens, für Data-Science-Anwendungen sowie Trackingtechnologie zuständig ist Zu deinen Aufgaben zählt die Auswahl und Anwendung moderner statistischer Verfahren (z. B. Regressionsverfahren, Zeitreihenanalyse, kausale Modellierung), um im engen Austausch mit unterschiedlichen Fachbereichen Empfehlungen für unternehmensweite Entscheidungen abzuleiten Zusätzlich bildet die Identifizierung, Entwicklung, Bereitstellung und Überwachung vielversprechender Machine Learning Usecases in enger Zusammenarbeit mit unseren Engineering- und Data-Teams einen wichtigen Schwerpunkt deiner Arbeit Du treibst die qualitätsgetriebene Entwicklung und Automatisierung von Data Science-Anwendungen im Unternehmen weiter voran Du verfügst über Berufserfahrung im Bereich Data Science, Business Intelligence oder Softwareentwicklung und hast ein Studium der (Wirtschafts-)Informatik, Statistik, Mathematik oder eine vergleichbare Ausbildung abgeschlossen Du beherrschst deine täglichen Werkzeuge R (oder ersatzweise Python) sowie SQL und bist in der Lage komplexe Zusammenhänge klar zu visualisieren und zu kommunizieren Du bringst fundierte Kenntnisse in Statistik sowie aktueller Machine-Learning-Methodik (z. B. Deep Learning) mit Als Teamplayer hast du Spaß daran, deine analytische Denkweise und technischen Fähigkeiten anzuwenden, zu entwickeln und weiterzugeben Gute Deutsch- und Englischkenntnisse komplettieren dein Profil",12-05-2022
(Senior) Data Scientist (m/w/d),msg systems ag,4.1,"deutschlandweit u.a. Berlin, Braunschweig, Chemnitz, Düsseldorf, Essen, Frankfurt, Görlitz, Hamburg",IT & Internet,,,"Beratung und Unterstützung unserer Kunden z.B. aus der Versicherungsbranche bei der Planung und Umsetzung von Analytics und KI-Initiativen Analysieren von verschiedensten Daten und Entwicklung von Handlungsempfehlungen, welche auf die Strategie unserer Kunden einzahlen Erarbeitung von Zukunftsthemen im Bereich analytische Customer Experience, Machine Learning, Natural Language Processing, u.v.m. Übernahme der Verantwortung für den Projekterfolg Führung von fachlich beteiligten Junioren und Verantwortung für die Konzeption und Moderation von Workshops Persönlicher Freiraum für Weiterentwicklung lösungsorientierter, innovativer Themen – bis hin zur Vermarktung und UmsetzungEin abgeschlossenes, berufsrelevantes Studium Mind. 3 Jahre Erfahrung als Data Scientist mit Kenntnissen in der Daten Auf- und Vorbereitung Erfahrung in der Anforderungserhebung im klassischen und agilen Projektumfeld (Scrum oder Vergleichbares) Routine in mindestens einem der Themengebiete: Customer Analytics, ML, NLP Kenntnisse von Python, R, SQL, Knime & SAS (o. ä.) sowie von gängigen Tools wie Tensorflow, PyTorch & Spark Sicheres Auftreten beim Kunden mit eigenverantwortlicher, selbstständiger Arbeitsweise Sehr gute Deutsch- und Englischkenntnisse in Wort und Schrift sowie Bereitschaft zur Mobilität in Projektumfeld",18-05-2022
